date,FXEURCAD,FXUSDCAD
2017-04-13,1.4102,1.3275
2017-04-17,1.4155,1.3289
2017-04-18,1.4321,1.3377
2017-04-19,1.4423,1.3460
2017-04-20,1.4485,1.3482
2017-04-21,1.4447,1.3506
2017-04-24,1.4648,1.3492
2017-04-25,1.4847,1.3592
2017-04-26,1.4797,1.3593
2017-04-27,1.4817,1.3624
2017-04-28,1.4896,1.3662
2017-05-01,1.4902,1.3660
2017-05-02,1.4971,1.3720
2017-05-03,1.4963,1.3714
2017-05-04,1.5057,1.3743
2017-05-05,1.5063,1.3712
2017-05-08,1.4985,1.3705
2017-05-09,1.4939,1.3728
2017-05-10,1.4860,1.3672
2017-05-11,1.4892,1.3707
2017-05-12,1.4973,1.3714
2017-05-15,1.4973,1.3641
2017-05-16,1.5063,1.3596
2017-05-17,1.5161,1.3614
2017-05-18,1.5128,1.3611
2017-05-19,1.5162,1.3544
2017-05-23,1.5120,1.3490
2017-05-24,1.5063,1.3460
2017-05-25,1.5082,1.3453
2017-05-26,1.5039,1.3456
2017-05-29,1.5027,1.3446
2017-05-30,1.5059,1.3469
2017-05-31,1.5164,1.3500
2017-06-01,1.5141,1.3500
2017-06-02,1.5218,1.3504
2017-06-05,1.5171,1.3483
2017-06-06,1.5170,1.3461
2017-06-07,1.5179,1.3492
2017-06-08,1.5145,1.3503
2017-06-09,1.5052,1.3453
2017-06-12,1.5032,1.3415
2017-06-13,1.4835,1.3238
2017-06-14,1.4872,1.3209
2017-06-15,1.4810,1.3283
2017-06-16,1.4804,1.3232
2017-06-19,1.4758,1.3220
2017-06-20,1.4771,1.3267
2017-06-21,1.4839,1.3310
2017-06-22,1.4769,1.3241
2017-06-23,1.4853,1.3268
2017-06-26,1.4819,1.3238
2017-06-27,1.4913,1.3188
2017-06-28,1.4844,1.3060
2017-06-29,1.4868,1.3015
2017-06-30,1.4813,1.2977
2017-07-04,1.4685,1.2941
2017-07-05,1.4714,1.2982
2017-07-06,1.4767,1.2946
2017-07-07,1.4692,1.2887
2017-07-10,1.4688,1.2888
2017-07-11,1.4774,1.2920
2017-07-12,1.4613,1.2794
2017-07-13,1.4529,1.2743
2017-07-14,1.4515,1.2672
2017-07-17,1.4535,1.2669
2017-07-18,1.4606,1.2628
2017-07-19,1.4512,1.2595
2017-07-20,1.4604,1.2585
2017-07-21,1.4632,1.2549
2017-07-24,1.4565,1.2512
2017-07-25,1.4592,1.2507
2017-07-26,1.4572,1.2505
2017-07-27,1.4621,1.2520
2017-07-28,1.4619,1.2447
2017-07-31,1.4719,1.2485
2017-08-01,1.4779,1.2514
2017-08-02,1.4890,1.2560
2017-08-03,1.4928,1.2578
2017-08-04,1.4886,1.2638
2017-08-08,1.4911,1.2672
2017-08-09,1.4916,1.2705
2017-08-10,1.4936,1.2711
2017-08-11,1.4984,1.2685
2017-08-14,1.4975,1.2705
2017-08-15,1.4957,1.2755
2017-08-16,1.4884,1.2699
2017-08-17,1.4837,1.2647
2017-08-18,1.4787,1.2586
2017-08-21,1.4844,1.2575
2017-08-22,1.4760,1.2552
2017-08-23,1.4835,1.2564
2017-08-24,1.4789,1.2529
2017-08-25,1.4821,1.2492
2017-08-28,1.4929,1.2482
2017-08-29,1.5037,1.2515
2017-08-30,1.5009,1.2605
2017-08-31,1.4887,1.2536
2017-09-01,1.4719,1.2390
2017-09-05,1.4733,1.2371
2017-09-06,1.4628,1.2264
2017-09-07,1.4585,1.2148
2017-09-08,1.4601,1.2132
2017-09-11,1.4521,1.2128
2017-09-12,1.4538,1.2159
2017-09-13,1.4517,1.2187
2017-09-14,1.4506,1.2198
2017-09-15,1.4564,1.2182
2017-09-18,1.4621,1.2238
2017-09-19,1.4712,1.2277
2017-09-20,1.4697,1.2273
2017-09-21,1.4718,1.2339
2017-09-22,1.4729,1.2317
2017-09-25,1.4634,1.2341
2017-09-26,1.4580,1.2370
2017-09-27,1.4577,1.2412
2017-09-28,1.4672,1.2450
2017-09-29,1.4742,1.2480
2017-10-02,1.4687,1.2505
2017-10-03,1.4691,1.2500
2017-10-04,1.4678,1.2479
2017-10-05,1.4699,1.2548
2017-10-06,1.4707,1.2549
2017-10-10,1.4754,1.2501
2017-10-11,1.4806,1.2498
2017-10-12,1.4770,1.2472
2017-10-13,1.4780,1.2487
2017-10-16,1.4788,1.2529
2017-10-17,1.4752,1.2548
2017-10-18,1.4708,1.2486
2017-10-19,1.4771,1.2478
2017-10-20,1.4852,1.2601
2017-10-23,1.4850,1.2644
2017-10-24,1.4901,1.2666
2017-10-25,1.5073,1.2771
2017-10-26,1.5009,1.2831
2017-10-27,1.4925,1.2874
2017-10-30,1.4926,1.2837
2017-10-31,1.5014,1.2893
2017-11-01,1.4978,1.2885
2017-11-02,1.4950,1.2822
2017-11-03,1.4833,1.2764
2017-11-06,1.4784,1.2746
2017-11-07,1.4802,1.2785
2017-11-08,1.4757,1.2729
2017-11-09,1.4768,1.2692
2017-11-10,1.4789,1.2683
2017-11-14,1.4990,1.2733
2017-11-15,1.5082,1.2773
2017-11-16,1.5002,1.2745
2017-11-17,1.5077,1.2783
2017-11-20,1.5030,1.2793
2017-11-21,1.4996,1.2778
2017-11-22,1.5008,1.2729
2017-11-23,1.5066,1.2715
2017-11-24,1.5150,1.2708
2017-11-27,1.5179,1.2735
2017-11-28,1.5202,1.2807
2017-11-29,1.5231,1.2853
2017-11-30,1.5330,1.2888
2017-12-01,1.5134,1.2729
2017-12-04,1.5042,1.2695
2017-12-05,1.4991,1.2680
2017-12-06,1.5049,1.2757
2017-12-07,1.5141,1.2843
2017-12-08,1.5123,1.2860
2017-12-11,1.5157,1.2854
2017-12-12,1.5106,1.2871
2017-12-13,1.5128,1.2852
2017-12-14,1.5104,1.2805
2017-12-15,1.5108,1.2834
2017-12-18,1.5177,1.2865
2017-12-19,1.5242,1.2886
2017-12-20,1.5246,1.2842
2017-12-21,1.5111,1.2734
2017-12-22,1.5113,1.2759
2017-12-27,1.5042,1.2641
2017-12-28,1.5041,1.2588
2017-12-29,1.5052,1.2545
2018-01-02,1.5082,1.2517
2018-01-03,1.5067,1.2533
2018-01-04,1.5106,1.2515
2018-01-05,1.4936,1.2403
2018-01-08,1.4868,1.2422
2018-01-09,1.4853,1.2454
2018-01-10,1.4960,1.2496
2018-01-11,1.5088,1.2535
2018-01-12,1.5190,1.2504
2018-01-15,1.5242,1.2422
2018-01-16,1.5201,1.2419
2018-01-17,1.5203,1.2425
2018-01-18,1.5234,1.2446
2018-01-19,1.5246,1.2459
